ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual
2023.0,128.0,oukitel,6.52,lcd,2.8,16.0,2.57,254.42,1600.0,720.0,10600.0,213.6842105263158,199.99,169.99
2022.0,256.0,samsung,6.4,oled,3.2,6.0,2.5,186.0,1080.0,2400.0,5000.0,1040.681818181818,273.57,273.57
2022.0,128.0,xiaomi,0.39,lcd,15.8,6.0,5.0,400.0,1334.0,720.0,5000.0,1.5789473684210529,152.65,131.45
2025.0,64.0,oscal,6.56,lcd,4.3,4.0,2.57,254.42,1080.0,2400.0,5000.0,18.18181818181818,329.99,79.99
2023.0,512.0,cubot,6.58,ips,2.0,8.0,1.0,217.0,2160.0,1080.0,5200.0,53.888888888888886,179.95,149.99
2023.0,256.0,doogee,4.5,amoled,2.2,8.0,1.27,155.0,960.0,540.0,3000.0,2.5641025641025643,165.99,165.99
2025.0,64.0,xgody,5.5,lcd,1.5,16.0,2.57,254.42,1080.0,2400.0,2850.0,2.0,329.99,64.99
2022.0,256.0,honor,6.78,amoled,3.4,8.0,2.57,254.42,1080.0,2400.0,5300.0,0.6521739130434783,199.99,229.0
2021.0,128.0,xiaomi,6.52,amoled,16.4,2.0,2.57,254.42,1080.0,2400.0,5000.0,6.19047619047619,199.99,129.52
2019.0,256.0,apple,6.7,oled,2.9,12.0,0.05,436.0,1080.0,2400.0,16.0,17.77777777777778,549.0,685.0
2013.0,256.0,doogee,6.58,lcd,2.0,12.0,5.7,390.0,1080.0,2408.0,10800.0,14.5,209.99,199.49
2023.0,128.0,xiaomi,6.74,lcd,2.0,4.0,2.57,254.42,1650.0,720.0,5000.0,47.906976744186046,131.79,122.49
2025.0,256.0,doogee,6.72,lcd,2.2,32.0,1.6,364.0,1080.0,2400.0,10100.0,49.30232558139535,379.99,299.99
2025.0,256.0,doogee,6.6,lcd,2.8,8.0,1.58,362.0,1080.0,2400.0,10300.0,16.363636363636363,219.99,169.99
2023.0,128.0,oukitel,6.56,lcd,17.9,12.0,0.92,199.0,1280.0,720.0,5150.0,442.1951219512196,119.99,109.99
2025.0,256.0,xiaomi,6.67,amoled,2.5,8.0,0.84,190.0,1500.0,750.0,5110.0,0.4444444444444444,243.74,236.7
2025.0,64.0,xgody,5.5,lcd,1.5,16.0,2.57,254.42,1080.0,2400.0,2850.0,2.0,64.99,64.99
2025.0,256.0,blackview,6.67,lcd,3.0,18.0,2.57,254.42,1080.0,2400.0,15000.0,7.777777777777778,199.99,209.99
2019.0,256.0,oppo,6.55,amoled,1.0,12.0,2.57,254.42,1080.0,1920.0,5000.0,0.6,191.0,191.0
2023.0,64.0,zokoe,3.0,lcd,1.3,3.0,1.25,84.0,480.0,854.0,3.0,22.35294117647059,499.99,79.99
2022.0,128.0,blackview,6.5,amoled,2.0,8.0,0.9,184.0,1080.0,2400.0,5180.0,16.82926829268293,199.99,119.99
