_id,Potencia nominal de la bateria,precio_actual,precio_anterior,Capacidad de almacenamiento digital,Marca,Sistema operativo,Tamano de la pantalla,Tipo de pantalla,Ano del modelo,Memoria RAM,Altura (cm),Anchura (cm),Profundidad (cm),Peso (g)
B0DK3KZY9C,5000.0,79.99,89.99,,ulefone,android 14 go,6.56,lcd,2024.0,6.0,16.32,7.52,0.87,490.0
B0D9LNR55Z,5150.0,89.99,569.99,128.0,doogee,android 14,6.56,lcd,2024.0,9.0,,,,
B0D8134JH8,6000.0,211.0,230.51,,samsung,android,6.6,amoled,2024.0,6.0,16.2,7.9,0.9,222.0
B0CW363ZFV,4600.0,269.0,999.99,,vivo,android 13.0,6.78,amoled,2023.0,8.0,16.4,7.44,0.74,30.0
B0CNTQGNNM,10800.0,179.99,379.99,,doogee,android 13.0,6.56,lcd,,,,,,
B0B1PTV7ST,3300.0,99.99,499.99,,,,,,,3.0,15.53,7.34,0.85,153.0
B0DKFNHRVQ,5000.0,199.99,499.99,,oscal,android 14,6.56,lcd,2024.0,8.0,16.48,7.56,0.87,193.0
B0CR3YMJWG,5000.0,231.53,1299.0,,,,,amoled,,8.0,18.0,9.0,6.0,190.0
B0DRCX34LQ,5500.0,178.75,149.99,,xiaomi,android 12.0,6.67,amoled,2025.0,8.0,,,,
B0CXJDSJJ4,,76.0,94.27,,xiaomi,android,,,,3.0,,,,
B0D383ZXKK,5000.0,339.99,14.0,,,,,amoled,,,,,,
B0DM5J2TP1,10600.0,139.99,325.99,,oukitel,android 14,6.52,lcd,2024.0,,,,,
B0DN153LCY,5150.0,169.99,999.99,256.0,oukitel,android 14.0 smartphone,6.56,lcd,2025.0,24.0,,,,
B0DPF7PXV4,10800.0,249.99,499.99,,doogee,android 14.0,6.6,lcd,2025.0,,17.85,8.31,1.79,422.0
B0CZXTB5M6,5000.0,153.77,499.99,,,,,,,,,,,
B0CYYFJL9D,5000.0,104.78,7.22,,,,,,,,18.0,9.0,4.0,340.0
B0C6FDCPB1,5000.0,101.09,108.95,,,,,,,4.0,16.86,7.63,0.82,198.5
B0CR16KX25,5000.0,299.99,12.65,,xiaomi,android 13.0,6.67,amoled,2024.0,12.0,16.05,7.5,0.85,520.0
B0CQ28QJNS,10600.0,189.99,199.99,256.0,cubot,android 13.0,6.52,lcd,2024.0,12.0,,,,
B0CMRV3KWB,5000.0,107.97,136.24,128.0,xiaomi,android,6.74,lcd,2024.0,6.0,,,,
B0DLNRXQMV,5000.0,129.99,,,blackview,android 14,6.56,lcd,2025.0,12.0,,,,
B0CWS285P6,5000.0,89.9,87.0,128.0,xiaomi,android,6.74,,2024.0,4.0,,,,
B0DDCGN7QJ,15500.0,229.98,289.99,256.0,doogee,android 14,6.56,lcd,2024.0,12.0,81.2,20.7,17.41,430.0
B0CVQBNH2D,5000.0,399.0,529.0,,,,,superamoled,,,,,,
B0CPPZRQJK,,282.0,449.0,,,,,oled,,8.0,16.14,7.42,0.89,204.8
B0CXJDKQXR,3600.0,74.7,76.93,,,,,,,,,,,
B08PCFF5QB,4.0,326.99,,,,,,oled,,,16.49,8.96,2.82,300.0
B0CTHZC9TW,5000.0,387.99,499.99,,,,,amoled,,12.0,,,,
B0DRJR3YRT,5000.0,488.79,329.99,256.0,realme,android,6.78,amoled,2024.0,12.0,16.2,7.5,0.86,500.0
B0CP44JVQF,3600.0,139.79,1299.0,,samsung,android,6.7,amoled,2024.0,4.0,6.7,4.1,1.2,270.0
B0CZTSRXQP,5000.0,229.99,549.0,,,,,amoled,,8.0,18.0,9.0,4.0,200.0
B0D8BFFTNW,5150.0,239.99,209.99,,doogee,android 14,6.56,lcd,2024.0,20.0,,,,
B0DFMN3X6C,5000.0,179.9,179.9,,,,,lcd,,,,,,
B0CDGNQH4G,3000.0,57.99,1299.0,,wrtogo,android 9.0,5.0,lcd,,1.0,,,,
B08CH6VKHW,3600.0,86.89,119.99,,,,,,,2.0,16.48,7.71,0.9,194.0
B0DB7HKTMJ,5000.0,189.0,207.66,,xiaomi,android 13.0,6.67,amoled,2023.0,8.0,,,,
B0BSLJNW5G,5000.0,194.99,1299.0,,,,,lcd,,8.0,50.0,50.0,28.0,181.0
B0DCBYCTJP,5000.0,195.07,1199.0,,,,,amoled,,,16.3,7.57,0.77,25.0
B0CLQV32XM,5180.0,119.99,499.99,128.0,blackview,android 13.0,6.5,amoled,2022.0,8.0,16.42,6.2,0.9,184.0
B0CNR4XBY7,5000.0,114.0,124.99,,xiaomi,android,6.74,amoled,2023.0,8.0,10.0,5.0,1.27,400.0
B0DNK3Y6HK,5000.0,179.0,199.0,,,,,,,,,,,
B0BWYVX9LY,5000.0,195.31,2.69,,,,,lcd,,8.0,50.0,50.0,28.0,195.0
B0DGLKLFJB,11000.0,249.99,259.99,256.0,oukitel,android 14,6.56,ips,2025.0,24.0,17.2,8.1,1.53,680.0
B0DHZ437M8,5000.0,299.0,,256.0,vivo,android 14,6.67,amoled,2024.0,8.0,16.32,7.59,0.79,190.0
B0DH22T9X3,5000.0,92.95,106.94,,xiaomi,android 14,6.88,lcd,2024.0,4.0,,,,
B0D929RCTB,,329.0,,,oppo,,6.7,amoled,2024.0,,,,,
B0CVQL4VY3,5000.0,269.0,379.0,,,,,superamoled,,,,,,
B0DRC5MF1N,5110.0,337.17,479.0,,xiaomi,android 12.0,6.67,amoled,2025.0,8.0,16.25,7.47,0.89,210.0
B0DKTJ22QN,4200.0,148.9,170.0,,samsung,android,6.7,amoled,2024.0,4.0,16.44,7.79,0.79,200.0
B0D2DCSTBV,5000.0,199.9,1299.0,,,,,,,8.0,,,,
B0D4SMFD94,33.0,138.0,199.0,,,,,,,8.0,,,,
B0CJYH75VB,3000.0,169.99,209.99,,doogee,,4.5,lcd,2025.0,15.0,,,,
