_id,ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual
B0CVQL4VY3,2024.0,128.0,samsung,6.65,superamoled,3.4,6.0,2.57,254.42,1080.0,2400.0,5000.0,10.238095238095235,379.0,289.0
B0CZTTDTC7,2024.0,256.0,realme,6.7,amoled,2.6,8.0,4.0,200.0,1080.0,2400.0,5000.0,43.80952380952381,359.99,225.99
B08QXQK357,2024.0,128.0,samsung,6.7,amoled,2.8,8.0,0.78,304.0,1080.0,2400.0,4800.0,11.666666666666666,399.99,389.0
B0D97XZJS6,2024.0,256.0,motorola,6.67,amoled,3.1,8.0,2.57,254.42,1080.0,2400.0,5000.0,20.97560975609756,249.0,249.0
B0D1GB3V2R,2024.0,256.0,motorola,6.67,oled,2.4,12.0,0.78,175.0,1080.0,2400.0,5000.0,35.348837209302324,199.99,329.0
B0DFGG8WRX,2024.0,128.0,oppo,6.7,lcd,2.1,4.0,0.77,186.0,1080.0,2400.0,5100.0,66.22222222222223,139.0,139.0
B0DKFNHRVQ,2024.0,256.0,oscal,6.56,lcd,2.2,8.0,0.87,193.0,1280.0,720.0,5000.0,5.9523809523809526,399.0,199.99
B0D8TDLW99,2024.0,128.0,oscal,6.52,lcd,1.6,4.0,0.93,192.0,1280.0,720.0,4700.0,47.27272727272727,89.99,89.99
B0DCC3FQJ3,2024.0,256.0,oppo,6.7,lcd,1.0,8.0,0.77,186.0,1280.0,720.0,5100.0,18.857142857142858,249.0,229.0
B0DJW4XKNW,2024.0,128.0,ulefone,6.56,lcd,4.3,6.0,0.86,192.0,1280.0,1080.0,5000.0,10.930232558139537,399.0,79.99
B0DG64KMM6,2024.0,256.0,xiaomi,6.88,lcd,14.1,8.0,2.57,254.42,1080.0,2400.0,5160.0,60.238095238095234,169.9,149.99
B0BVZQGL7R,2024.0,256.0,motorola,6.5,lcd,2.9,4.0,2.57,254.42,1080.0,2400.0,5000.0,193.02325581395348,199.0,199.0
B0DHZ44FHF,2024.0,256.0,vivo,6.67,amoled,3.4,8.0,0.78,188.0,1080.0,2340.0,5000.0,29.285714285714285,199.99,299.0
B0CPPZRQJK,2024.0,256.0,xiaomi,6.67,oled,3.3,8.0,0.89,204.8,1080.0,2400.0,5000.0,173.33333333333334,449.0,282.0
B0D5H81PTY,2024.0,128.0,cubot,6.56,lcd,4.3,4.0,2.57,254.42,1080.0,2400.0,5100.0,10.526315789473683,199.99,79.99
B0D47HKQJM,2024.0,256.0,oneplus,6.67,amoled,3.1,8.0,0.81,191.0,1080.0,2400.0,5110.0,27.906976744186046,329.0,236.78
B0CT8TCT6F,2024.0,128.0,oppo,6.56,lcd,2.0,4.0,0.82,250.0,1080.0,2400.0,5000.0,66.22222222222223,199.99,95.0
B0DKP63HXT,2024.0,128.0,xiaomi,6.67,amoled,3.1,8.0,2.57,254.42,1080.0,2400.0,5500.0,44.77272727272727,239.9,239.9
B0CTMM8S86,2024.0,128.0,umidigi,6.7,lcd,2.8,16.0,0.8,195.0,1080.0,2400.0,5000.0,101.05263157894736,146.99,179.99
B0CQZ4BK6C,2024.0,256.0,xiaomi,6.67,oled,2.4,8.0,0.89,204.8,1080.0,2400.0,5000.0,73.63636363636363,297.0,276.0
B0CC5TQ2HB,2024.0,256.0,cubot,6.58,lcd,2.2,12.0,2.57,254.42,1080.0,2408.0,5200.0,0.4,219.95,219.95
B0D2QFYJTQ,2024.0,256.0,vivo,6.67,amoled,2.4,8.0,0.78,191.0,1080.0,1920.0,5000.0,12.325581395348838,199.99,229.0
B0D4MFT832,2024.0,128.0,doogee,6.56,lcd,1.8,4.0,2.57,254.42,1080.0,1920.0,5000.0,0.9756097560975612,149.99,109.99
B0D3F61948,2024.0,128.0,umidigi,6.75,lcd,2.0,12.0,0.79,189.0,1080.0,2400.0,5000.0,160.5263157894737,149.99,127.49
B0D8TDJ1DB,2024.0,128.0,oscal,6.75,lcd,2.0,8.0,0.87,195.0,1280.0,720.0,5180.0,18.636363636363637,239.99,139.99
B0DHRQCB1G,2024.0,128.0,cubot,6.75,lcd,1.8,12.0,2.57,254.42,720.0,1600.0,5100.0,15.25,129.99,99.99
B0CVQKCPRT,2024.0,128.0,samsung,6.6,superamoled,3.4,6.0,2.57,254.42,1080.0,2340.0,5000.0,10.238095238095235,379.0,289.0
B0CN13F65C,2024.0,128.0,samsung,6.7,lcd,1.5,4.0,0.88,195.0,1080.0,2400.0,5000.0,104.77272727272728,127.99,127.99
B0DDCGN7QJ,2024.0,256.0,doogee,6.56,amoled,3.1,8.0,2.57,254.42,1080.0,2400.0,5000.0,1.1904761904761905,289.99,229.98
B0CVQ6SYFK,2024.0,256.0,samsung,6.67,amoled,3.4,8.0,2.57,254.42,1080.0,2340.0,5000.0,21.666666666666664,10.4,297.0
B0DRFJR1R3,2024.0,256.0,xiaomi,6.67,oled,2.9,8.0,2.57,254.42,1080.0,2400.0,5110.0,1.1904761904761905,149.99,185.98
B0BW8Q1MBR,2024.0,256.0,xiaomi,6.71,lcd,2.0,4.0,0.88,192.0,1080.0,2400.0,5000.0,123.25581395348836,201.49,201.49
B0CQ32CLZQ,2024.0,256.0,xiaomi,6.67,amoled,2.4,8.0,2.57,254.42,1080.0,2340.0,5000.0,1.1904761904761905,18.01,249.99
B0DFGS5NFN,2024.0,128.0,oppo,6.56,lcd,2.0,8.0,0.77,186.0,1080.0,2400.0,3600.0,5.9375,115.0,115.0
B0CSG93BF7,2024.0,256.0,xiaomi,6.67,lcd,2.8,8.0,2.57,254.42,1080.0,2400.0,5000.0,0.9523809523809524,156.0,156.0
B0CQJY9JYT,2024.0,64.0,samsung,6.7,amoled,2.4,4.0,2.57,254.42,1080.0,2160.0,5000.0,150.2325581395349,124.84,112.4
B0CPXX5K3D,2024.0,256.0,xiaomi,6.67,amoled,2.4,12.0,2.57,254.42,1080.0,2400.0,5000.0,70.22727272727272,199.99,399.0
B0D5292XN3,2024.0,256.0,xiaomi,6.79,lcd,2.0,8.0,2.57,254.42,1080.0,2400.0,5000.0,0.9523809523809524,182.0,140.69
