_id,ano,almacenamiento,marca,pantalla_in,pantalla_tipo,velocidad_cpu_ghz,ram,grosor,peso,ancho_px,alto_px,bateria,promedio_valoraciones,precio_anterior,precio_actual,iqr_outlier
B0CW15T72S,2024.0,128.0,blackview,6.75,lcd,2.0,16.0,2.57,254.42,1080.0,2400.0,18.0,18.57142857142857,199.99,119.99,True
B09MJRW2ZM,2024.0,256.0,apple,6.1,xdr,2.5,12.0,2.57,254.42,1080.0,2400.0,2815.0,23.714285714285715,499.99,446.29,True
B0B5QJT9PK,2024.0,256.0,xiaomi,6.55,amoled,2.4,8.0,2.57,254.42,1080.0,2400.0,67.0,63.02325581395349,239.09,184.99,True
B0CG91MG51,2024.0,256.0,cubot,6.52,lcd,2.3,12.0,2.57,254.42,1080.0,2400.0,10600.0,57.43589743589744,199.99,189.99,True
B0CNTQGNNM,2024.0,256.0,doogee,6.56,lcd,2.8,8.0,2.57,254.42,1280.0,720.0,10800.0,12.5,199.99,179.99,True
B0B1PTV7ST,2024.0,64.0,ulefone,6.1,lcd,2.0,3.0,0.85,153.0,1080.0,2400.0,3300.0,26.756756756756754,199.99,99.99,True
B0DJ1LK2MZ,2024.0,256.0,cxpmy,6.67,lcd,2.5,8.0,2.57,254.42,1080.0,2400.0,15080.0,1561.904761904762,339.0,339.0,True
B0BZS77DBX,2024.0,256.0,xiaomi,6.67,amoled,2.0,8.0,2.57,254.42,1080.0,2400.0,1.0,446.81818181818176,499.99,210.0,True
B0D63142NK,2024.0,64.0,hammer h,6.56,lcd,2.8,4.0,2.57,254.42,1080.0,2400.0,6500.0,0.9090909090909092,199.99,179.9,True
B0DQ9MD1K5,2024.0,256.0,ulefone,6.56,amoled,2.4,16.0,1.37,305.5,1080.0,2400.0,6050.0,1561.904761904762,329.99,319.99,True
B0CQ499V98,2024.0,256.0,cubot,6.52,lcd,2.4,12.0,2.57,254.42,1080.0,2400.0,10600.0,57.69230769230769,146.99,159.99,True
B0D3Q96GDL,2024.0,256.0,ulefone,6.78,lcd,2.0,12.0,0.88,211.6,1080.0,2400.0,19.0,17.692307692307693,249.99,179.99,True
B0D2W69J7G,2024.0,256.0,doogee,6.56,lcd,2.8,8.0,2.57,254.42,1080.0,2400.0,6300.0,12.5,179.99,179.99,True
B0CSFYBGG1,2024.0,64.0,hammer h,6.59,amoled,3.0,6.0,2.57,254.42,1080.0,2400.0,6320.0,2.4242424242424243,199.99,225.19,True
B00JC8MD7Y,2024.0,256.0,samsung,6.7,superamoled,2.2,6.0,0.77,179.0,1080.0,2400.0,4500.0,1761.8181818181818,279.99,279.99,True
B07MTXWLRP,2024.0,256.0,samsung,6.1,amoled,2.7,6.0,0.78,157.0,1440.0,3040.0,3400.0,1414.25,267.84,267.84,True
B07NWLZMGJ,2024.0,256.0,samsung,6.4,amoled,2.8,8.0,0.78,175.0,1440.0,3040.0,5000.0,989.047619047619,290.0,290.0,True
B07NWR7QYQ,2024.0,256.0,samsung,6.1,amoled,3.1,8.0,0.78,155.92,1440.0,3040.0,5000.0,1414.25,199.99,269.99,True
B08PCCM1GC,2024.0,256.0,apple,6.1,oled,2.5,8.0,2.57,254.42,1080.0,2400.0,5000.0,1714.8648648648648,499.99,329.99,True
B08PCDP3LM,2024.0,256.0,apple,6.1,oled,2.5,8.0,0.74,189.0,1080.0,2400.0,5000.0,1714.8648648648648,499.99,333.99,True
B08PCFMXN4,2024.0,256.0,apple,6.1,oled,2.4,8.0,2.57,254.42,1080.0,2400.0,5000.0,3198.285714285714,499.99,323.99,True
B0CMJKNCQH,2024.0,256.0,xiaomi,6.67,amoled,2.2,8.0,2.57,254.42,1080.0,2400.0,5000.0,209.7674418604651,229.9,229.9,True
B0CGVP8NRC,2024.0,128.0,google,6.2,oled,2.5,12.0,0.89,187.0,1080.0,2400.0,4575.0,634.0,199.99,474.46,True
B09RNDTXJX,2024.0,128.0,samsung,6.6,amoled,3.3,4.0,0.84,198.0,1080.0,2400.0,5000.0,553.0952380952381,319.0,284.99,True
B09QH3JT6P,2024.0,128.0,samsung,6.5,superamoled,3.4,5.0,0.81,190.0,1080.0,2400.0,5000.0,1091.190476190476,449.0,296.0,True
B0CCYT8Q2X,2024.0,256.0,motorola,6.67,amoled,3.4,12.0,0.76,160.0,1080.0,2400.0,5000.0,602.8888888888889,299.0,289.73,True
B0CS3VWCC4,2024.0,256.0,motorola,6.5,lcd,2.2,8.0,0.8,174.0,1080.0,2400.0,5000.0,262.093023255814,179.99,179.99,True
B0CSG7MM7L,2024.0,256.0,xiaomi,6.67,amoled,2.4,8.0,0.8,188.5,1080.0,2400.0,5000.0,379.30232558139534,549.0,165.29,True
B0CY8D7L7F,2024.0,128.0,samsung,6.67,amoled,2.4,6.0,2.57,254.42,1080.0,2340.0,5000.0,235.3658536585366,499.99,254.9,True
B0CP18P9W7,2024.0,256.0,redmi,6.74,lcd,2.6,8.0,2.57,254.42,1080.0,2400.0,5000.0,321.7073170731708,199.99,69.95,True
B0CXJDX8XY,2024.0,128.0,google,6.1,amoled,3.2,8.0,0.89,187.0,1080.0,2400.0,4404.0,225.7142857142857,549.0,399.0,True
B0BZJK1ZTY,2024.0,128.0,google,6.1,amoled,3.1,8.0,0.9,194.0,1080.0,2400.0,5000.0,242.43902439024396,199.99,259.0,True
B0BW67W2YP,2024.0,256.0,xiaomi,6.67,lcd,3.0,8.0,2.57,254.42,1080.0,2400.0,5000.0,221.33333333333331,234.92,208.98,True
B08WWHJFLR,2024.0,128.0,samsung,6.5,superamoled,2.3,6.0,0.84,187.0,1080.0,2400.0,4500.0,1287.0454545454545,349.0,278.99,True
B0CMJKP1HM,2024.0,256.0,xiaomi,6.67,amoled,2.4,12.0,2.57,254.42,1080.0,2400.0,5100.0,592.2222222222222,199.99,286.83,True
B0CTHYFRHH,2024.0,256.0,realme,6.67,amoled,2.4,8.0,2.57,254.42,1080.0,2400.0,5000.0,226.74418604651163,320.0,320.0,True
B0CMJL5QMK,2024.0,256.0,xiaomi,6.67,amoled,2.2,12.0,2.57,254.42,1440.0,2560.0,5100.0,1273.4883720930234,329.9,329.9,True
